invoice_id,order_id,invoice_date,refund_date,total_invoice_gross,invoice_currency,refund_amount,invoice_status
,682d739ef5d70828eddfee0e,2025-07-23,2026-01-02,0,EUR,35.46,refunded
,687de22c37dd9cd241006d2a,2025-09-22,2026-01-02,0,EUR,38.1,refunded
,68d4ee8b4b403b25a02c6e73,2026-01-02,2026-01-02,0,EUR,20.55,refunded
,68cfa23825c5b38dd8662ca3,2025-11-21,2026-01-02,0,EUR,29.43,refunded
,68ba818b4a026d337f580408,2025-11-05,2026-01-05,0,EUR,52.88,refunded
,6907b401bde841c5c99f4911,2025-11-03,2026-01-05,0,EUR,19.78,refunded
,68db8a064b403b25a09aaee1,2026-01-06,2026-01-06,0,EUR,58.45,refunded
,690afae0fd5be37c60b98fb9,2026-01-05,2026-01-06,0,EUR,44,refunded
,68be119b4a026d337f29aead,2025-11-07,2026-01-07,0,EUR,47.4,refunded
,68c902fa25c5b38dd80253e1,2025-11-18,2026-01-07,0,EUR,88,refunded
,68b68e734a026d337f611f41,2025-11-03,2026-01-07,0,EUR,18.24,refunded
,68a566bcf2af2924dba9dccc,2025-11-25,2026-01-07,0,EUR,0.6,refunded
,68f08ed2f2903a2bbeffc71f,2025-12-16,2026-01-07,0,EUR,44,refunded
,68b537ca4a026d337f31bcd9,2025-11-01,2026-01-07,0,EUR,38.37,refunded
,695cc62d3448a3ec9974ae5b,2026-01-07,2026-01-08,0,EUR,6.05,refunded
,690a264db5ed73ade77a9fa2,2026-01-04,2026-01-08,0,EUR,20.55,refunded
,690ca21bdc7737a459af2d3d,2025-11-06,2026-01-09,0,EUR,7.58,refunded
,69046f8eb5ed73ade7ae5bc8,2025-11-10,2026-01-09,0,EUR,47.65,refunded
,68af09ce4a026d337f5d4120,2025-10-29,2026-01-09,0,EUR,68,refunded
,68af08f3c2f9e671096d61c2,2025-08-27,2026-01-09,0,EUR,26,refunded
,6902901db5ed73ade704c8a8,2025-10-31,2026-01-09,0,EUR,47.65,refunded
,6900be665d6c55417c26727e,2025-10-30,2026-01-09,0,EUR,7.71,refunded
,68be7a424a026d337f4fb146,2025-11-10,2026-01-12,0,EUR,88,refunded
,686d53de3c995d68032afee2,2025-09-09,2026-01-12,0,EUR,44,refunded
,6960b237996629007f9cdaf9,2026-01-09,2026-01-12,0,EUR,29.5,refunded
,68f87e24f2903a2bbe9a9f2d,2026-01-05,2026-01-13,0,EUR,44,refunded
,68b17b0f4a026d337fdebbbc,2025-11-05,2026-01-13,0,EUR,88,refunded
,68b164d4f3f282925d7aa9de,2025-08-29,2026-01-13,0,EUR,26,refunded
,69187810fd5be37c60a564bb,2026-01-15,2026-01-15,0,EUR,44,refunded
,68f9f9f50f1940d0aeef6900,2026-01-14,2026-01-16,0,EUR,20.55,refunded
,69005faa0f1940d0ae26bf3f,2025-12-31,2026-01-16,0,EUR,28.7,refunded
,68c17fcb4a026d337f4f68a9,2025-12-01,2026-01-16,0,EUR,88,refunded
,68c17e93c88fa00888a0ba76,2025-09-10,2026-01-16,0,EUR,26,refunded
,68f6a195f2903a2bbe09e152,2026-01-11,2026-01-17,0,EUR,25.55,refunded
,690e08ba2d646e0522e1de84,2025-11-11,2026-01-20,0,EUR,26,refunded
,690e0941fd5be37c60ea3f40,2026-01-07,2026-01-20,0,EUR,44,refunded
,63da9f28d19275dcf2d43dfb,2026-01-11,2026-01-21,0,EUR,18,refunded
,690298a85101590491af1510,2025-10-30,2026-01-21,0,EUR,26,refunded
,69029ab3b5ed73ade70a5167,2025-12-29,2026-01-21,0,EUR,44,refunded
,697111fd0c2c32424ed935a9,2026-01-22,2026-01-26,0,EUR,10,refunded
,692404163c472cf26e3b57d6,2026-01-24,2026-01-26,0,EUR,44,refunded
,68f1e0c6f2903a2bbe3ee6aa,2026-01-24,2026-01-27,0,EUR,20.55,refunded
