order_id,customer_id,product_name,order_date,order_paid_date,user_country,order_currency,order_amount,refund_amount,order_status
695701acac3e85d452659cc1,677c4d0e1605ca31b397509c,occ_bimonthly,2026-01-01 23:22:20.229 UTC,2026-01-05 11:10:42.402 UTC,DE,EUR,88,0,paid
6926afc23c472cf26e3e6c43,68d62653cd7167651da03b98,occ_bimonthly,2025-11-26 07:44:02.62 UTC,2026-01-26 11:19:32.427 UTC,DE,EUR,88,0,partially_paid
6928039b3c472cf26eb041cd,66ffaefe877d6e77e14452e1,occ_bimonthly,2025-11-27 07:54:03.47 UTC,2026-01-27 12:59:18.7 UTC,DE,EUR,88,0,partially_paid
69216ab23c472cf26ea82bec,67e68d34f131387e84fe6c56,occ_bimonthly,2025-11-22 07:48:02.995 UTC,2026-01-22 10:43:44.108 UTC,DE,EUR,88,0,paid
69104b30fd5be37c601427ae,65b6b71abd43790027a7560c,occ_bimonthly,2025-11-09 08:05:04.111 UTC,2026-01-09 11:20:27.513 UTC,DE,EUR,88,0,paid
69538a4598385695f1aebb09,67497f5b83b9c10fe91a4409,occ_bimonthly,2025-12-30 08:16:05.728 UTC,2026-01-29 10:52:56.422 UTC,DE,EUR,88,0,partially_paid
6978409fb76be2bb7f5800da,67e804931a13dc80b0e405d0,occ_bimonthly,2026-01-27 04:35:43.575 UTC,,DE,EUR,52,26,partially_paid
69070f46b5ed73ade7995d31,63e992c40e785900295a4869,occ_bimonthly,2025-11-02 07:59:02.853 UTC,2026-01-05 11:32:44.356 UTC,DE,EUR,88,0,paid
694ba26f98385695f1ffd671,5f719f1e2701bc00245680b8,occ_monthly,2025-12-24 08:21:03.117 UTC,2026-01-24 07:50:09.98 UTC,DE,EUR,59,0,paid
693bcff83c472cf26e44d412,644addbb9c523600299577e0,occ_monthly,2025-12-12 08:19:04.343 UTC,2026-01-30 07:45:29.662 UTC,DE,EUR,49,0,paid
6977b4e75b9bbdc977f78217,6977b4e6c9f712366fc51ad4,occ_bimonthly,2026-01-26 18:39:35.009 UTC,2026-01-26 19:13:54 UTC,DE,EUR,70,0,partially_paid
69197f97fd5be37c6027f5e5,61814431a094a600255c9e00,occ_bimonthly,2025-11-16 07:39:03.706 UTC,2026-01-16 08:15:12.403 UTC,DE,EUR,62,0,paid
69085db9b5ed73ade76ba8ab,67c5deb1b93e97c2541eb518,occ_bimonthly,2025-11-03 07:46:01.836 UTC,2026-01-03 08:20:57.417 UTC,DE,EUR,88,0,paid
68dbf10a4b403b25a0464187,68dbded736c53c77619a30f6,occ_bimonthly,2025-09-30 15:02:34.64 UTC,2026-01-05 14:30:49.388 UTC,DE,EUR,88,0,paid
691d75bb3c472cf26eaa7a38,68d03054291beb6de940dbee,occ_bimonthly,2025-11-19 07:46:03.848 UTC,2026-01-22 09:40:53.184 UTC,DE,EUR,88,0,paid
6963862a996629007fbaf364,6963862ae931ffe8bf712055,occ_bimonthly,2026-01-11 11:14:50.771 UTC,2026-02-11 11:29:03.934 UTC,DE,EUR,52,0,paid
69070cb5b5ed73ade79669ee,662cbd01bb36590028ad54bb,occ_bimonthly,2025-11-02 07:48:05.089 UTC,2026-01-02 08:20:11.616 UTC,DE,EUR,98,0,paid
692811e63c472cf26ed00660,683bf65ec6f7bc826bc49f41,occ_bimonthly,2025-11-27 08:55:02.491 UTC,2026-01-27 10:38:18.228 UTC,DE,EUR,96,0,partially_paid
69182f07fd5be37c607022bc,68c858677717cdc4a6586c53,occ_bimonthly,2025-11-15 07:43:03.416 UTC,2026-01-15 19:33:02.053 UTC,DE,EUR,88,0,paid
6971e66e4c56598999fd2a64,6971e66d0c2c32424ee19e2b,occ_bimonthly,2026-01-22 08:57:18.027 UTC,2026-01-22 09:56:23.905 UTC,DE,EUR,59,0,paid
69198995fd5be37c60327ae8,6919860713d22ca7c1ddc7a4,occ_bimonthly,2025-11-16 08:21:41.329 UTC,2026-01-16 11:56:39.838 UTC,DE,EUR,88,0,paid
69085946b5ed73ade7654f75,675d88fb601d12f38c5eea77,occ_bimonthly,2025-11-03 07:27:02.647 UTC,2026-01-10 16:03:38.08 UTC,DE,EUR,88,0,paid
6919c244fd5be37c605bfad6,632477fcd6b01e002753b870,occ_bimonthly,2025-11-16 12:23:32.991 UTC,2026-01-16 15:32:54.342 UTC,DE,EUR,88,0,paid
690b00bbfd5be37c60c2b3ab,65745f80fb05c10027cd1ad9,occ_bimonthly,2025-11-05 07:46:03.616 UTC,2026-01-05 08:30:21.792 UTC,DE,EUR,88,0,paid
6918337cfd5be37c60768e6d,646289b42a9dae0028dc8fa4,occ_bimonthly,2025-11-15 08:02:04.724 UTC,2026-01-15 19:03:39.543 UTC,DE,EUR,88,0,paid
692165503c472cf26ea155d0,60ae92d18705220024c72d03,occ_bimonthly,2025-11-22 07:25:04.012 UTC,2026-01-24 13:48:42.863 UTC,DE,EUR,88,0,paid
68e215924b403b25a0d882f3,6891e717cedb9410a45e224e,occ_bimonthly,2025-10-05 06:52:02.468 UTC,2026-01-12 11:57:02.357 UTC,DE,EUR,88,0,paid
691bab0afd5be37c605e3d84,60b69c013ffffc0025bdb669,occ_bimonthly,2025-11-17 23:08:58.475 UTC,2026-01-17 18:36:50.544 UTC,DE,EUR,88,0,paid
696405a2b11cafc3d7664f76,696405a1996629007fc4ec59,occ_bimonthly,2026-01-11 20:18:42.756 UTC,2026-01-12 13:17:11.761 UTC,DE,EUR,70,0,paid
68dcd96a4b403b25a0ec932a,67f38c7766407414449d0464,occ_bimonthly,2025-10-01 07:34:02.656 UTC,2026-01-06 08:05:09.941 UTC,DE,EUR,88,0,paid
695fd12f279f5a309e73ced9,695fd12ee94df701012db725,occ_bimonthly,2026-01-08 15:45:51.76 UTC,2026-01-08 16:00:23.701 UTC,DE,EUR,52,0,paid
6927229c3c472cf26e064cfd,6918ee410b420d897a04f310,occ_bimonthly,2025-11-26 15:54:04.786 UTC,2026-01-27 11:07:32.408 UTC,DE,EUR,88,0,partially_paid
6968f394bc76d46d4b80bd16,6968f3932626a579237c1f82,occ_bimonthly,2026-01-15 14:03:00.27 UTC,2026-01-15 16:38:44.156 UTC,DE,EUR,59,0,paid
690da3f8fd5be37c605259dc,6405f1d59af8e0002994d06b,occ_bimonthly,2025-11-07 07:47:04.64 UTC,2026-01-07 11:40:30.556 UTC,DE,EUR,98,0,paid
692805f33c472cf26eb5c3e4,65b7eb49e771bc00281a27df,occ_bimonthly,2025-11-27 08:04:03.476 UTC,2026-01-27 11:30:46.01 UTC,DE,EUR,88,0,partially_paid
68da28964b403b25a00e6cd8,68387650f38080d74367829c,occ_bimonthly,2025-09-29 06:35:02.286 UTC,2026-01-04 09:32:42.777 UTC,DE,EUR,88,0,paid
6969dc2529d49db50200391e,677a64df1db6f12b00d01d14,occ_bimonthly,2026-01-16 06:35:17.771 UTC,2026-01-16 10:27:35.591 UTC,DE,EUR,59,0,paid
690c4baafd5be37c6005ef61,686a43011376ac83538975b2,occ_bimonthly,2025-11-06 07:18:02.416 UTC,2026-01-06 07:46:24.491 UTC,DE,EUR,88,0,paid
690d98d2fd5be37c6043c008,690d039f958bcce98268b786,occ_bimonthly,2025-11-07 06:59:30.892 UTC,2026-01-07 13:01:10.925 UTC,DE,EUR,88,0,paid
